Alanine,Ala,A,89.1,71.08,2.34,9.69,0,6,47
Arginine,Arg,R,174.2,156.19,2.17,9.04,12.48,10.76,-26
Asparagine,Asn,N,132.12,114.11,2.02,8.8,0,5.41,-41
Aspartic acid,Asp,D,133.11,115.09,1.88,9.6,3.65,2.77,-18
Cysteine,Cys,C,121.16,103.15,1.96,10.28,8.18,5.07,52
Glutamic acid,Glu,E,147.13,129.12,2.19,9.67,4.25,3.22,8
Glutamine,Gln,Q,146.15,128.13,2.17,9.13,0,5.65,-18
Glycine,Gly,G,75.07,57.05,2.34,9.6,0,5.97,0
Histidine,His,H,155.16,137.14,1.82,9.17,6,7.59,-42
Hydroxyproline,Hyp,O,131.13,113.11,1.82,9.65,0,0,0
Isoleucine,Ile,I,131.18,113.16,2.36,9.6,0,6.02,100
Leucine,Leu,L,131.18,113.16,2.36,9.6,0,5.98,100
Lysine,Lys,K,146.19,128.18,2.18,8.95,10.53,9.74,-37
Methionine,Met,M,149.21,131.2,2.28,9.21,0,5.74,74
Phenylalanine,Phe,F,165.19,147.18,1.83,9.13,0,5.48,92
Proline,Pro,P,115.13,97.12,1.99,10.6,0,6.3,-46
Pyroglutamatic,Glp,U,139.11,121.09,0,0,0,5.68,0
Serine,Ser,S,105.09,87.08,2.21,9.15,0,5.68,-7
Threonine,Thr,T,119.12,101.11,2.09,9.1,0,5.6,13
Tryptophan,Trp,W,204.23,186.22,2.83,9.39,0,5.89,84
Tyrosine,Tyr,Y,181.19,163.18,2.2,9.11,10.07,5.66,49
Valine,Val,V,117.15,99.13,2.32,9.62,0,5.96,97